,url,website,year,month,day,length
0,https://www.cnet.com/science/what-you-need-to-know-about-artificial-intelligence-and-the-imminent-robot-future/,CNET,2015,12,22,1277.0
1,https://www.cnet.com/science/silicon-valley-bigwigs-fund-artificial-intelligence-nonprofit/,CNET,2015,12,12,558.0
2,https://www.cnet.com/roadshow/news/toyota-to-open-artificial-intelligence-and-robotics-hub-in-silicon-valley/,CNET,2015,11,6,433.0
3,https://www.cnet.com/science/chatty-app-from-facebook-helps-the-sight-impaired-see/,CNET,2015,11,3,576.0
4,https://www.cnet.com/culture/stephen-hawking-says-we-should-be-more-frightened-of-capitalism-than-robots/,CNET,2015,10,9,449.0
5,https://www.cnet.com/culture/girt-by-cnet-podcast-45/,CNET,2015,10,9,208.0
6,https://www.cnet.com/tech/mobile/artificial-intelligence-is-the-next-major-wave-of-computing-android-creator-says/,CNET,2015,10,8,614.0
7,https://www.cnet.com/culture/google-exec-with-robots-in-our-brains-well-be-godlike/,CNET,2015,10,1,493.0
8,https://www.cnet.com/culture/stephen-hawking-says-nomadic-aliens-might-crush-us/,CNET,2015,9,30,396.0
9,https://www.cnet.com/science/ban-autonomous-weapons-urge-hundreds-of-experts-including-hawking-musk-and-wozniak/,CNET,2015,7,27,522.0
10,https://www.cnet.com/science/cute-robot-politely-shows-self-awareness/,CNET,2015,7,20,404.0
11,https://www.cnet.com/science/donald-hutson-battlebots-champion-uses-smartphones-to-help-robots-see-the-world/,CNET,2015,7,19,1305.0
12,https://www.cnet.com/science/terminator-meet-the-organisation-trying-to-stop-killer-robots/,CNET,2015,7,3,324.0
13,https://www.cnet.com/culture/the-meaning-of-life-according-to-google-chatbot-ai/,CNET,2015,7,3,804.0
14,https://www.cnet.com/culture/robots-could-keep-us-in-coffins-on-heroin-drips-prof-says/,CNET,2015,6,29,485.0
15,https://www.cnet.com/science/google-a-i-could-be-my-new-wife-steal-my-job-and-im-nervous/,CNET,2015,5,26,869.0
16,https://www.cnet.com/science/in-200-years-rich-humans-will-be-cyborgs-says-professor/,CNET,2015,5,25,520.0
17,https://www.cnet.com/science/deepbeat-rapping-computer-algorithm-isnt-bad/,CNET,2015,5,21,385.0
18,https://www.cnet.com/science/chappie-stirs-up-questions-about-artificial-intelligence/,CNET,2015,3,4,223.0
19,https://www.cnet.com/science/bill-gates-is-worried-about-artificial-intelligence-too/,CNET,2015,1,28,692.0
20,https://www.cnet.com/culture/artificial-intelligence-experts-sign-open-letter-to-protect-mankind-from-machines/,CNET,2015,1,12,466.0
21,https://www.cnet.com/science/what-next-for-the-future-tech-of-2014/,CNET,2014,12,31,2606.0
22,https://www.cnet.com/science/eric-schmidt-you-have-nothing-to-fear-from-ai/,CNET,2014,12,10,373.0
23,https://www.cnet.com/science/elon-musk-worries-skynet-is-only-five-years-off/,CNET,2014,11,19,433.0
24,https://www.cnet.com/science/elon-musk-we-are-summoning-the-demon-with-artificial-intelligence/,CNET,2014,10,26,364.0
25,https://www.cnet.com/roadshow/news/elon-musk-sees-autonomous-cars-ready-sooner-than-previously-thought/,CNET,2014,10,10,399.0
26,https://www.cnet.com/science/elon-musk-worries-ai-could-delete-humans-along-with-spam/,CNET,2014,10,9,259.0
27,https://www.cnet.com/science/elon-musk-artificial-intelligence-could-be-more-dangerous-than-nukes/,CNET,2014,8,3,300.0
28,https://www.cnet.com/science/your-phone-will-never-love-you-back-and-you-shouldnt-want-it-to/,CNET,2014,6,20,659.0
29,https://www.cnet.com/tech/gaming/crossed-up-anki-drive-unveils-new-cars-and-first-new-tracks/,CNET,2014,4,16,510.0
30,https://www.cnet.com/tech/tech-industry/yahoos-mayer-aviate-is-central-to-our-mobile-ad-biz/,CNET,2014,4,16,658.0
31,https://www.cnet.com/tech/services-and-software/of-course-you-need-a-robot-to-help-prioritize-your-email/,CNET,2014,4,10,539.0
32,https://www.cnet.com/tech/tech-industry/marissa-mayer-wants-yahoo-to-be-big-in-mobile-meet-aviate/,CNET,2014,4,9,2455.0
33,https://www.cnet.com/tech/tech-industry/musk-zuckerberg-kutcher-invest-in-artificial-intelligence-firm-vicarious/,CNET,2014,3,21,196.0
34,https://www.cnet.com/culture/bot-or-not-try-to-tell-a-human-poet-from-a-computer/,CNET,2014,3,10,313.0
35,https://www.cnet.com/reviews/forza-motorsport-5-xbox-one-preview/,CNET,2013,11,6,2296.0
36,https://www.cnet.com/reviews/anki-drive-review/,CNET,2013,10,23,2414.0
37,https://www.cnet.com/reviews/nhl-14-playstation-3-preview/,CNET,2013,9,9,992.0
38,https://www.cnet.com/reviews/carrot-alarm-ios-review/,CNET,2014,3,7,576.0
39,https://www.cnet.com/reviews/riptide-gp2-review/,CNET,2014,3,7,812.0
40,https://www.cnet.com/culture/artificial-intelligence-system-has-iq-of-4-year-old/,CNET,2013,7,17,255.0
41,https://www.cnet.com/culture/smile-we-know-how-fast-your-heart-is-beating/,CNET,2013,6,20,332.0
42,https://www.cnet.com/tech/mobile/calendar-app-tempo-raises-10-million-in-first-round-funding/,CNET,2013,6,20,303.0
43,https://www.cnet.com/tech/tech-industry/anki-blessed-by-apple-takes-ai-and-robotics-to-consumers/,CNET,2013,6,11,717.0
44,https://www.cnet.com/reviews/panasonic-tc-dt60-review/,CNET,2013,6,7,2001.0
45,https://www.cnet.com/tech/mobile/siri-like-calendar-app-tempo-eyes-other-platforms/,CNET,2013,5,29,590.0
46,https://www.cnet.com/tech/services-and-software/google-quantum-computer-lab-to-study-artificial-intelligence/,CNET,2013,5,16,306.0
47,https://www.cnet.com/tech/gaming/cryptography-scientists-win-2012-turing-award/,CNET,2013,3,13,223.0
48,https://www.cnet.com/culture/liveson-twitter-ghost-keeps-tweeting-when-youre-dead/,CNET,2013,2,20,205.0
49,https://www.cnet.com/tech/mobile/official-stratego-game-debuts-for-ipad/,CNET,2013,1,30,428.0
50,https://www.cnet.com/tech/services-and-software/googles-ray-kurzweil-hire-could-yield-some-good-returns/,CNET,2012,12,15,519.0
51,https://www.cnet.com/science/killer-robots-cambridge-brains-to-assess-ai-risk/,CNET,2012,11,26,540.0
52,https://www.cnet.com/reviews/f1-race-stars-xbox-360-review/,CNET,2012,11,17,1215.0
53,https://www.cnet.com/reviews/f1-race-stars-playstation-3-review/,CNET,2012,11,17,1212.0
54,https://www.cnet.com/reviews/f1-race-stars-pc-review/,CNET,2012,11,17,1229.0
55,https://www.cnet.com/science/futurist-ray-kurzweil-on-smartphones-ai-and-the-human-brain/,CNET,2012,11,12,509.0
56,https://www.cnet.com/reviews/medal-of-honor-warfighter-xbox-360-review/,CNET,2012,11,10,1915.0
57,https://www.cnet.com/reviews/wwe-13-xbox-360-review/,CNET,2012,11,7,1004.0
58,https://www.cnet.com/reviews/medal-of-honor-warfighter-pc-review/,CNET,2012,11,1,1915.0
59,https://www.cnet.com/culture/hoodie-jacket-with-built-in-goggles-is-creepy-and-cozy/,CNET,2012,10,22,192.0
60,https://www.cnet.com/culture/did-a-bug-in-deep-blue-lead-to-kasparovs-defeat/,CNET,2012,9,27,364.0
61,https://www.cnet.com/reviews/legends-of-pegasus-pc-review/,CNET,2012,9,22,1080.0
62,https://www.cnet.com/culture/japan-building-robot-that-would-pass-college-exams/,CNET,2012,9,12,321.0
63,https://www.cnet.com/tech/mobile/apple-showcases-third-party-apps-on-iphone-5/,CNET,2012,9,12,365.0
64,https://www.cnet.com/culture/can-an-algorithm-win-your-fantasy-football-league/,CNET,2012,7,18,535.0
65,https://www.cnet.com/science/googles-project-glass-you-aint-seen-nothin-yet/,CNET,2012,4,6,971.0
66,https://www.cnet.com/culture/play-ball-heres-your-mlb-2012-gaming-roundup/,CNET,2012,4,5,1002.0
67,https://www.cnet.com/science/robot-companies-come-to-bury-c-3po/,CNET,2012,4,3,767.0
68,https://www.cnet.com/reviews/sony-xba-nc85d-review/,CNET,2012,3,30,1037.0
69,https://www.cnet.com/science/judea-pearl-named-2011-winner-of-turing-award/,CNET,2012,3,15,441.0
70,https://www.cnet.com/tech/tech-industry/should-siri-be-jealous-of-voice-recognition-competitors/,CNET,2012,1,13,873.0
71,https://www.cnet.com/tech/tech-industry/a-star-trek-inspired-x-prize-for-revolutionizing-health-care/,CNET,2012,1,10,544.0
72,https://www.cnet.com/tech/tech-industry/startup-secret-no-10-your-app-needs-a-personality-makeover/,CNET,2011,12,19,334.0
73,https://www.cnet.com/tech/mobile/googles-project-majel-gets-more-interesting-by-the-day/,CNET,2011,12,16,505.0
74,https://www.cnet.com/tech/services-and-software/google-gobbles-up-restaurant-recommendation-app-alfred/,CNET,2011,12,14,273.0
75,https://www.cnet.com/culture/google-x-shows-dogged-determination-for-far-out-research/,CNET,2011,11,14,852.0
76,https://www.cnet.com/reviews/sony-mdr-nc200d-black-review/,CNET,2011,10,31,570.0
77,https://www.cnet.com/culture/in-nest-labs-finally-an-apple-of-home-energy/,CNET,2011,10,25,803.0
78,https://www.cnet.com/tech/tech-industry/john-mccarthy-creator-of-lisp-programming-language-dies/,CNET,2011,10,25,377.0
79,https://www.cnet.com/tech/tech-industry/look-out-google-siri-is-poised-to-take-apple-into-search-q-a/,CNET,2011,10,20,980.0
80,https://www.cnet.com/culture/canon-loads-eos-1d-x-with-new-tech-hopes-and-dreams/,CNET,2011,10,18,1143.0
81,https://www.cnet.com/culture/japanese-robot-pours-fake-drinks-with-fake-ice/,CNET,2011,8,1,228.0
82,https://www.cnet.com/tech/tech-industry/moon-express-sees-money-in-moon-rocks/,CNET,2011,7,22,608.0
83,https://www.cnet.com/culture/artificial-intelligence-takes-on-ms-pac-man/,CNET,2011,6,14,295.0
84,https://www.cnet.com/culture/future-of-medicine-under-the-microscope/,CNET,2011,5,13,598.0
85,https://www.cnet.com/culture/crysis-2-if-you-can-make-it-there/,CNET,2011,3,24,937.0
86,https://www.cnet.com/reviews/canon-eos-rebel-rebel-t3i-review/,CNET,2011,3,22,1315.0
87,https://www.cnet.com/culture/reporters-roundtable-debating-the-robobrains/,CNET,2011,2,18,630.0
88,https://www.cnet.com/culture/must-love-puppies-walks-on-beach-robot-babies/,CNET,2011,2,15,273.0
89,https://www.cnet.com/tech/tech-industry/what-ibms-watson-tells-us-about-the-state-of-ai/,CNET,2011,2,14,936.0
90,https://www.cnet.com/science/domo-arigato-mr-watson-ibm-computer-takes-on-jeopardy/,CNET,2011,1,13,1025.0
91,https://www.cnet.com/culture/at-sri-developing-an-expertise-in-r-d-innovation/,CNET,2010,10,26,1804.0
92,https://www.cnet.com/tech/tech-industry/get-lamp-illuminates-the-text-adventure-game/,CNET,2010,8,10,722.0
93,https://www.cnet.com/reviews/lego-harry-potter-years-1-4-xbox-360-review/,CNET,2012,11,21,1273.0
94,https://www.cnet.com/culture/humanoid-bot-hitches-a-ride-on-roombas/,CNET,2010,6,10,181.0
95,https://www.cnet.com/culture/the-next-five-years-of-the-x-prize/,CNET,2010,5,16,1293.0
96,https://www.cnet.com/culture/how-go-shaped-a-crowdsourcing-business-career-q-a/,CNET,2010,5,4,2087.0
97,https://www.cnet.com/culture/apple-buys-virtual-assistant-app-maker-siri/,CNET,2010,4,28,177.0
98,https://www.cnet.com/culture/gdc-whats-next-for-video-game-ai/,CNET,2010,3,11,1216.0
99,https://www.cnet.com/culture/internets-future-on-display-at-singularity-u/,CNET,2010,3,4,1088.0
100,https://www.cnet.com/culture/at-singularity-university-blowing-minds-and-taking-meetings/,CNET,2010,3,2,1674.0
101,https://www.cnet.com/culture/x-prize-group-sets-sights-on-next-challenges-q-a/,CNET,2010,3,1,1883.0
102,https://www.cnet.com/culture/friday-poll-perfect-date-with-roxxxy-the-sex-robot/,CNET,2010,1,15,187.0
103,https://www.cnet.com/reviews/canon-eos-5d-mark-2-review/,CNET,2012,10,9,1330.0
104,https://www.cnet.com/reviews/dell-xps-m1730-review/,CNET,2007,10,23,1130.0
105,https://www.computerworld.com/article/1624975/one-in-10-us-homes-may-have-a-robot-by-2020.html,ComputerWorld,2015,12,24,272.0
106,https://www.computerworld.com/article/1622957/ford-plans-to-test-driverless-cars-in-california-next-year.html,ComputerWorld,2015,12,15,262.0
107,https://www.computerworld.com/article/1641251/and-now-a-security-drone-that-chases-intruders.html,ComputerWorld,2015,12,10,327.0
108,https://www.computerworld.com/article/1639727/5-things-you-should-know-about-drone-regulations.html,ComputerWorld,2015,12,4,475.0
109,https://www.computerworld.com/article/1636209/nasa-needs-robotic-upgrades-for-work-on-mars.html,ComputerWorld,2015,11,20,439.0
110,https://www.computerworld.com/article/1632469/why-human-in-the-loop-computing-is-the-future-of-machine-learning.html,ComputerWorld,2015,11,13,1046.0
111,https://www.computerworld.com/article/1633185/robot-keeps-stores-stocked-with-doritos-2.html,ComputerWorld,2015,11,12,480.0
112,https://www.computerworld.com/article/1633104/get-ready-for-car-as-a-service-caas.html,ComputerWorld,2015,11,12,779.0
113,https://www.computerworld.com/article/1632175/toyotas-ai-research-efforts-could-mean-cars-that-anticipate-traffic-pedestrian-moves.html,ComputerWorld,2015,11,11,1004.0
114,https://www.computerworld.com/article/1631317/autonomous-cars-arent-nearly-as-clever-as-you-think-says-toyota-exec.html,ComputerWorld,2015,11,6,424.0
115,https://www.computerworld.com/article/1630088/toyota-plans-1b-rd-push-on-ai-and-robotics-in-us.html,ComputerWorld,2015,11,6,488.0
116,https://www.computerworld.com/article/1630074/faa-panel-still-isnt-sure-how-to-regulate-drones.html,ComputerWorld,2015,11,5,460.0
117,https://www.computerworld.com/article/1630859/can-ai-influence-human-behavior-two-year-trial-seeks-an-answer.html,ComputerWorld,2015,11,5,364.0
118,https://www.computerworld.com/article/1625742/from-bionics-to-magic-mit-media-lab-celebrates-30-years-of-innovation.html,ComputerWorld,2015,10,30,1565.0
119,https://www.computerworld.com/article/1628074/lonely-on-the-road-what-about-a-robotic-driving-companion.html,ComputerWorld,2015,10,29,521.0
120,https://www.computerworld.com/article/1626986/drone-carrying-drugs-hacksaw-blades-crashes-into-oklahoma-prison.html,ComputerWorld,2015,10,27,186.0
121,https://www.computerworld.com/article/1649501/meet-the-virtual-woman-who-may-take-your-job-2.html,ComputerWorld,2015,10,9,637.0
122,https://www.computerworld.com/article/1649286/senate-bill-aims-to-make-it-a-federal-offense-to-recklessly-fly-drones.html,ComputerWorld,2015,10,8,493.0
123,https://www.computerworld.com/article/1648299/machines-are-replacing-writers-gartner-says.html,ComputerWorld,2015,10,6,632.0
